"PointFlow"     ,75.68 ,69.44 ,60.88 ,59.89 ,60.65 ,62.36
"SoftFlow"      ,70.92 ,69.44 ,59.95 ,63.51 ,62.63 ,64.71
"ShapeGF"       ,80.00 ,76.17 ,68.96 ,65.48 ,63.20 ,56.53
"SetVAE"        ,75.31 ,77.65 ,58.76 ,61.48 ,59.66 ,61.48
"vae"           ,76.05 ,77.90 ,60.37 ,73.72 ,62.46 ,73.04
"vaenormalized" ,87.53 ,79.26 ,68.05 ,68.20 ,62.36 ,58.81
